Gene.ID,Chr,start,end,strand,gene_length,type,detailed_type,symbol,annotation
atU2-1,Chr1,5758388,5758582,+,195,canonical ncRNA,snRNA,U2-1,U2
atU2-10,Chr2,849778,849973,+,196,canonical ncRNA,snRNA,U2-10,U2
atU2-10b/12,Chr2,852860,853055,+,196,canonical ncRNA,snRNA,U2-10b/12,U2
atU2-11,Chr1,3180545,3180734,-,190,canonical ncRNA,snRNA,U2-11,U2
atU2-13,Chr2,8802088,8802283,+,196,canonical ncRNA,snRNA,U2-13,U2
atU2-14,Chr1,4842277,4842472,+,196,canonical ncRNA,snRNA,U2-14,U2
atU2-15,Chr5,25066564,25066759,+,196,canonical ncRNA,snRNA,U2-15,U2
atU2-16,Chr5,23431296,23431491,-,196,canonical ncRNA,snRNA,U2-16,U2
atU2-17,Chr5,4690005,4690102,-,98,canonical ncRNA,snRNA,U2-17,U2
atU2-18p,Chr3,9879999,9880066,+,68,canonical ncRNA,snRNA,U2-18p,U2
atU2-8,Chr5,26949658,26949853,+,196,canonical ncRNA,snRNA,U2-8,U2
atU4.1,Chr5,19885591,19885744,-,154,canonical ncRNA,snRNA,U4.1,U4
atU4.2,Chr3,2178184,2178337,-,154,canonical ncRNA,snRNA,U4.2,U4
atU4.3p,Chr5,20094804,20094846,-,43,canonical ncRNA,snRNA,U4.3p,U4
atU4-10,Chr1,12987211,12987335,+,125,canonical ncRNA,snRNA,U4-10,U4
atU4-11p,Chr1,25643659,25643733,+,75,canonical ncRNA,snRNA,U4-11p,U4
atU4-4,Chr1,18218533,18218686,-,154,canonical ncRNA,snRNA,U4-4,U4
atU4-5,Chr5,8972462,8972615,-,154,canonical ncRNA,snRNA,U4-5,U4
atU4-6,Chr1,4006868,4007021,-,154,canonical ncRNA,snRNA,U4-6,U4
atU4-7,Chr5,9832930,9833079,+,150,canonical ncRNA,snRNA,U4-7,U4
atU4-8,Chr5,9494078,9494227,-,150,canonical ncRNA,snRNA,U4-8,U4
atU4-9,Chr1,30081138,30081275,+,138,canonical ncRNA,snRNA,U4-9,U4
atU4atac,Chr4,9096362,9096520,+,159,canonical ncRNA,snRNA,U4atac,U4atac
atU5.1,Chr3,20729524,20729628,-,105,canonical ncRNA,snRNA,U5.1,U5
atU5.1b,Chr3,20725801,20725902,-,102,canonical ncRNA,snRNA,U5.1b,U5
atU5-10,Chr5,4690367,4690409,-,43,canonical ncRNA,snRNA,U5-10,U5
atU5-11,Chr5,21939797,21939840,-,44,canonical ncRNA,snRNA,U5-11,U5
atU5-12,Chr1,26891593,26891636,+,44,canonical ncRNA,snRNA,U5-12,U5
atU5-13,Chr5,21812717,21812762,-,46,canonical ncRNA,snRNA,U5-13,U5
atU5-2,Chr1,24190819,24190923,+,105,canonical ncRNA,snRNA,U5-2,U5
atU5-3,Chr1,26429733,26429834,+,102,canonical ncRNA,snRNA,U5-3,U5
atU5-4,Chr3,20642864,20642968,+,105,canonical ncRNA,snRNA,U5-4,U5
atU5-5,Chr1,8525114,8525215,-,102,canonical ncRNA,snRNA,U5-5,U5
atU5-6,Chr1,1215731,1215832,-,102,canonical ncRNA,snRNA,U5-6,U5
atU5-7,Chr4,1114528,1114629,-,102,canonical ncRNA,snRNA,U5-7,U5
atU5-8,Chr3,9225879,9225975,-,97,canonical ncRNA,snRNA,U5-8,U5
atU5-9,Chr1,29923554,29923650,-,97,canonical ncRNA,snRNA,U5-9,U5
atU6.1,Chr3,4951589,4951690,+,102,canonical ncRNA,snRNA,U6.1,U6
atU6.26,Chr3,4561104,4561205,+,102,canonical ncRNA,snRNA,U6.26,U6
atU6.29,Chr5,18787389,18787490,+,102,canonical ncRNA,snRNA,U6.29,U6
atU6-10p,Chr3,16781817,16781903,+,87,canonical ncRNA,snRNA,U6-10p,U6
atU6-11p,Chr5,3522142,3522166,-,25,canonical ncRNA,snRNA,U6-11p,U6
atU6-2,Chr5,25279599,25279700,+,102,canonical ncRNA,snRNA,U6-2,U6
atU6-3,Chr4,13782209,13782310,+,102,canonical ncRNA,snRNA,U6-3,U6
atU6-4,Chr4,1483021,1483122,-,102,canonical ncRNA,snRNA,U6-4,U6
atU6-5,Chr4,15965155,15965255,-,101,canonical ncRNA,snRNA,U6-5,U6
atU6-6,Chr4,16754831,16754926,+,96,canonical ncRNA,snRNA,U6-6,U6
atU6-7,Chr2,6777711,6777787,+,77,canonical ncRNA,snRNA,U6-7,U6
atU6-8p,Chr1,19592729,19592807,+,79,canonical ncRNA,snRNA,U6-8p,U6
atU6-9p,Chr1,19956817,19956870,-,54,canonical ncRNA,snRNA,U6-9p,U6
atU6atac,Chr5,16166185,16166306,-,122,canonical ncRNA,snRNA,U6atac,U6atac
atU6atac2,Chr1,7491389,7491500,-,112,canonical ncRNA,snRNA,U6atac2,U6atac
AT1G01010,Chr1,3631,5899,+,2269,mRNA,mRNA,NAC001,NAC domain containing protein 1
AT1G01020,Chr1,6788,9130,-,2343,mRNA,mRNA,ARV1,ARV1 family protein
AT1G03987,Chr1,11101,11372,+,272,lncRNA,intergenic,,
AT1G01030,Chr1,11649,13714,-,2066,mRNA,mRNA,NGA3,AP2/B3-like transcriptional factor family protein
AT1G01040,Chr1,23121,31227,+,8107,mRNA,mRNA,DCL1,dicer-like 1
AT1G03993,Chr1,23312,24099,-,788,lncRNA,intragenic,,Natural antisense transcript overlaps with AT1G01040
AT1G01050,Chr1,31170,33171,-,2002,mRNA,mRNA,PPa1,pyrophosphorylase 1
AT1G03997,Chr1,32727,33009,+,283,lncRNA,intragenic,,Natural antisense transcript overlaps with AT1G01050
AT1G01060,Chr1,33365,37871,-,4507,mRNA,mRNA,LHY,Homeodomain-like superfamily protein
AT1G01070,Chr1,38444,41017,-,2574,mRNA,mRNA,UMAMIT28,nodulin MtN21 /EamA-like transporter family protein
AT1G04003,Chr1,43087,43295,-,209,lncRNA,intergenic,,
AT1G01080,Chr1,44970,47059,-,2090,mRNA,mRNA,,RNA-binding (RRM/RBD/RNP motifs) family protein
AT1G01090,Chr1,47234,49304,-,2071,mRNA,mRNA,PDH-E1 ALPHA,pyruvate dehydrogenase E1 alpha
MSTRG.7.1,Chr1,48090,48460,+,371,lncRNA,intragenic,NA,Natural antisense transcript overlaps with AT1G01090
AT1G01100,Chr1,49909,51210,-,1302,mRNA,mRNA,,60S acidic ribosomal protein family
AT1G01110,Chr1,51953,54737,+,2785,mRNA,mRNA,IQD18,IQ-domain 18
AT1G01120,Chr1,57164,59215,-,2052,mRNA,mRNA,KCS1,3-ketoacyl-CoA synthase 1
AT1G01130,Chr1,61905,63811,-,1907,mRNA,mRNA,,CBL-interacting Serine/Threonine-kinase
MSTRG.18.1,Chr1,63498,63947,+,450,lncRNA,intragenic,NA,Natural antisense transcript overlaps with AT1G01130
AT1G01140,Chr1,64166,67774,-,3609,mRNA,mRNA,CIPK9,CBL-interacting protein kinase 9
AT1G01150,Chr1,69911,72138,-,2228,mRNA,mRNA,,Homeodomain-like protein with RING/FYVE/PHD-type zinc finger domain-containing protein
AT1G01160,Chr1,72339,74096,+,1758,mRNA,mRNA,GIF2,GRF1-interacting factor 2
AT1G04007,Chr1,72646,73108,-,463,lncRNA,intragenic,,Natural antisense transcript overlaps with AT1G01160
MSTRG.22.1,Chr1,73931,74731,-,801,lncRNA,intragenic,NA,Natural antisense transcript overlaps with AT1G01160
AT1G01170,Chr1,73931,74737,-,807,mRNA,mRNA,,ozone-responsive stress-like protein (DUF1138)
AT1G04013,Chr1,74435,74683,+,249,lncRNA,intragenic,,Natural antisense transcript overlaps with AT1G01170
AT1G01180,Chr1,75390,76845,+,1456,mRNA,mRNA,,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
AT1G08765,Chr1,77537,80345,+,2809,lncRNA,intergenic,,
AT1G01190,Chr1,82984,84946,-,1963,mRNA,mRNA,CYP78A8,cytochrome P450%2C family 78%2C subfamily A%2C polypeptide 8
AT1G01200,Chr1,86486,88409,-,1924,mRNA,mRNA,RABA3,RAB GTPase homolog A3
AT1G01210,Chr1,88622,90502,+,1881,mRNA,mRNA,,DNA-directed RNA polymerase%2C subunit M%2C archaeal
AT1G04017,Chr1,90169,90401,-,233,lncRNA,intragenic,,Natural antisense transcript overlaps with AT1G01210
AT1G01220,Chr1,91342,95681,+,4340,mRNA,mRNA,FKGP,L-fucokinase/GDP-L-fucose pyrophosphorylase
AT1G04023,Chr1,91356,91685,-,330,lncRNA,intragenic,,Natural antisense transcript overlaps with AT1G01220
AT1G01225,Chr1,95935,97407,+,1473,mRNA,mRNA,,NC domain-containing protein-like protein
AT1G01230,Chr1,97412,99240,+,1829,mRNA,mRNA,,ORMDL family protein
AT1G01240,Chr1,99865,101987,+,2123,mRNA,mRNA,,transmembrane protein
AT1G01250,Chr1,104440,105330,-,891,mRNA,mRNA,,Integrase-type DNA-binding superfamily protein
AT1G01260,Chr1,108946,111699,+,2754,mRNA,mRNA,,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT1G01270,Chr1,111890,111961,-,72,canonical ncRNA,tRNA,,
AT1G01280,Chr1,112263,113947,+,1685,mRNA,mRNA,CYP703A2,cytochrome P450%2C family 703%2C subfamily A%2C polypeptide 2
AT1G01290,Chr1,114202,116407,+,2206,mRNA,mRNA,CNX3,cofactor of nitrate reductase and xanthine dehydrogenase 3
AT1G01300,Chr1,116784,118845,+,2062,mRNA,mRNA,,Eukaryotic aspartyl protease family protein
MSTRG.40.1,Chr1,117389,118575,-,1187,lncRNA,intragenic,NA,Natural antisense transcript overlaps with AT1G01300
AT1G01305,Chr1,119381,119997,+,617,mRNA,mRNA,,hypothetical protein
AT1G01310,Chr1,120154,121130,+,977,mRNA,mRNA,,CAP (Cysteine-rich secretory proteins%2C Antigen 5%2C and Pathogenesis-related 1 protein) superfamily protein
AT1G01320,Chr1,121067,130577,-,9511,mRNA,mRNA,,Tetratricopeptide repeat (TPR)-like superfamily protein
MSTRG.46.1,Chr1,122168,122965,+,798,lncRNA,intragenic,NA,Natural antisense transcript overlaps with AT1G01320
AT1G01335,Chr1,130736,130858,+,123,mRNA,mRNA,,auxin-responsive endogenous peptide protein
AT1G01340,Chr1,132270,135924,-,3655,mRNA,mRNA,CNGC10,cyclic nucleotide gated channel 10
AT1G01350,Chr1,136090,138162,+,2073,mRNA,mRNA,,Zinc finger (CCCH-type/C3HC4-type RING finger) family protein
AT1G01355,Chr1,138489,139680,+,1192,mRNA,mRNA,,Putative endonuclease or glycosyl hydrolase
AT1G01360,Chr1,141870,143261,+,1392,mRNA,mRNA,RCAR1,regulatory component of ABA receptor 1
AT1G01370,Chr1,143489,146479,+,2991,mRNA,mRNA,HTR12,Histone superfamily protein
AT1G01380,Chr1,147043,148014,+,972,mRNA,mRNA,ETC1,Homeodomain-like superfamily protein
AT1G01390,Chr1,148013,149848,-,1836,mRNA,mRNA,,UDP-Glycosyltransferase superfamily protein
AT1G01400,Chr1,150689,152210,-,1522,mRNA,mRNA,,hypothetical protein
AT1G01410,Chr1,153113,154198,+,1086,mRNA,mRNA,PUM22,pumilio 22
AT1G01420,Chr1,154367,156178,-,1812,mRNA,mRNA,UGT72B3,UDP-glucosyl transferase 72B3
AT1G01430,Chr1,156477,158823,-,2347,mRNA,mRNA,TBL25,TRICHOME BIREFRINGENCE-LIKE 25
AT1G01440,Chr1,159628,162953,-,3326,mRNA,mRNA,,hypothetical protein (DUF3133)
AT1G01448,Chr1,163278,166353,+,3076,lncRNA,intragenic,,Natural antisense transcript overlaps with AT1G01450
MSTRG.58.4,Chr1,163354,166669,+,3316,lncRNA,intragenic,NA,Natural antisense transcript overlaps with AT1G01450
AT1G01450,Chr1,164105,165517,-,1413,mRNA,mRNA,,Protein kinase superfamily protein
AT1G01453,Chr1,166589,168088,-,1500,mRNA,mRNA,,late embryogenesis abundant hydroxyproline-rich glycoprotein family protein
AT1G01460,Chr1,168559,171386,+,2828,mRNA,mRNA,PIPK11,Phosphatidylinositol-4-phosphate 5-kinase%2C core
AT1G01470,Chr1,171525,172948,-,1424,mRNA,mRNA,LEA14,Late embryogenesis abundant protein
MSTRG.57.1,Chr1,172274,172544,+,271,lncRNA,intragenic,NA,Natural antisense transcript overlaps with AT1G01470
AT1G01480,Chr1,175706,178406,+,2701,mRNA,mRNA,ACS2,1-amino-cyclopropane-1-carboxylate synthase 2
AT1G01490,Chr1,180017,182749,-,2733,mRNA,mRNA,,Heavy metal transport/detoxification superfamily protein
MSTRG.63.1,Chr1,180357,180809,+,453,lncRNA,intragenic,NA,Natural antisense transcript overlaps with AT1G01490
AT1G01500,Chr1,185033,187135,+,2103,mRNA,mRNA,,Erythronate-4-phosphate dehydrogenase family protein
AT1G01510,Chr1,187145,190472,+,3328,mRNA,mRNA,AN,NAD(P)-binding Rossmann-fold superfamily protein
AT1G01520,Chr1,190408,192436,+,2029,mRNA,mRNA,ASG4,Homeodomain-like superfamily protein
AT1G01530,Chr1,192634,193670,-,1037,mRNA,mRNA,AGL28,AGAMOUS-like 28
AT1G01540,Chr1,195645,198787,+,3143,mRNA,mRNA,,Protein kinase superfamily protein
AT1G01550,Chr1,199527,201775,+,2249,mRNA,mRNA,BPS1,BPS1-like protein (DUF793)
AT1G01560,Chr1,202103,204440,+,2338,mRNA,mRNA,MPK11,MAP kinase 11
AT1G01570,Chr1,204935,207642,+,2708,mRNA,mRNA,,transferring glycosyl group transferase (DUF604)
AT1G01580,Chr1,208995,213082,+,4088,mRNA,mRNA,FRO2,ferric reduction oxidase 2
AT1G01590,Chr1,214150,217734,+,3585,mRNA,mRNA,FRO1,ferric reduction oxidase 1
AT1G01600,Chr1,218834,221286,+,2453,mRNA,mRNA,CYP86A4,cytochrome P450%2C family 86%2C subfamily A%2C polypeptide 4
AT1G01610,Chr1,221642,224351,-,2710,mRNA,mRNA,GPAT4,glycerol-3-phosphate acyltransferase 4
MSTRG.73.1,Chr1,223553,223733,+,181,lncRNA,intragenic,NA,Natural antisense transcript overlaps with AT1G01610
AT1G01620,Chr1,225665,227543,-,1879,mRNA,mRNA,PIP1C,plasma membrane intrinsic protein 1C
MSTRG.75.1,Chr1,226849,227227,+,379,lncRNA,intragenic,NA,Natural antisense transcript overlaps with AT1G01620
AT1G01630,Chr1,228799,230979,+,2181,mRNA,mRNA,,Sec14p-like phosphatidylinositol transfer family protein
AT1G01640,Chr1,230908,232630,-,1723,mRNA,mRNA,,BTB/POZ domain-containing protein
AT1G01650,Chr1,232840,237905,-,5066,mRNA,mRNA,SPPL4,SIGNAL PEPTIDE PEPTIDASE-LIKE 4
AT1G01660,Chr1,239841,242703,-,2863,mRNA,mRNA,,RING/U-box superfamily protein
AT1G01670,Chr1,242713,246054,-,3342,mRNA,mRNA,,RING/U-box superfamily protein
AT1G01680,Chr1,246262,248440,-,2179,mRNA,mRNA,PUB54,plant U-box 54
AT1G01690,Chr1,249041,252522,+,3482,mRNA,mRNA,PRD3,putative recombination initiation defects 3
AT1G01695,Chr1,252626,254530,+,1905,mRNA,mRNA,TRM33,Phosphatidylinositol N-acetyglucosaminlytransferase subunit P-like protein
AT1G08775,Chr1,254830,257582,+,2753,lncRNA,intergenic,,
AT1G04033,Chr1,255022,255384,+,363,lncRNA,intergenic,,
AT1G04037,Chr1,258717,258963,-,247,lncRNA,intergenic,,
MSTRG.77.1,Chr1,258767,259377,+,611,lncRNA,intragenic,NA,Natural antisense transcript overlaps with AT1G01700
AT1G01700,Chr1,259307,261667,-,2361,mRNA,mRNA,ROPGEF2,RHO guanyl-nucleotide exchange factor 2
AT1G01710,Chr1,262828,266324,+,3497,mRNA,mRNA,,acyl-CoA thioesterase II
AT1G01715,Chr1,266333,267883,+,1551,mRNA,mRNA,,hypothetical protein
AT1G04043,Chr1,267993,268336,-,344,lncRNA,intragenic,,Natural antisense transcript overlaps with AT1G01720
AT1G01720,Chr1,267993,269819,+,1827,mRNA,mRNA,ATAF1,NAC (No Apical Meristem) domain transcriptional regulator superfamily protein
AT1G01725,Chr1,269792,270859,-,1068,mRNA,mRNA,,adenylosuccinate synthetase
AT1G04047,Chr1,270067,270517,+,451,lncRNA,intragenic,,Natural antisense transcript overlaps with AT1G01725
AT1G01730,Chr1,270797,272189,+,1393,mRNA,mRNA,,hypothetical protein
AT1G01740,Chr1,272111,274930,-,2820,mRNA,mRNA,BSK4,kinase with tetratricopeptide repeat domain-containing protein
AT1G01750,Chr1,275188,276310,+,1123,mRNA,mRNA,ADF11,actin depolymerizing factor 11
AT1G04053,Chr1,275473,276319,-,847,lncRNA,intragenic,,Natural antisense transcript overlaps with AT1G01750
AT1G01760,Chr1,276266,278599,-,2334,mRNA,mRNA,,denosine deaminases acting on tRNA
AT1G04057,Chr1,276543,276729,+,187,lncRNA,intragenic,,Natural antisense transcript overlaps with AT1G01760
AT1G01770,Chr1,278600,282891,+,4292,mRNA,mRNA,,propionyl-CoA carboxylase
AT1G01780,Chr1,282761,284245,+,1485,mRNA,mRNA,PLIM2b,GATA type zinc finger transcription factor family protein
AT1G01790,Chr1,284350,291203,+,6854,mRNA,mRNA,KEA1,K+ efflux antiporter 1
AT1G04063,Chr1,291594,292061,-,468,lncRNA,intergenic,,
AT1G01800,Chr1,293246,295086,+,1841,mRNA,mRNA,,NAD(P)-binding Rossmann-fold superfamily protein
AT1G01810,Chr1,295207,295859,+,653,mRNA,mRNA,,hypothetical protein
AT1G01820,Chr1,296001,298334,-,2334,mRNA,mRNA,PEX11C,peroxin 11c
AT1G01830,Chr1,298451,302310,-,3860,mRNA,mRNA,,ARM repeat superfamily protein
AT1G04067,Chr1,303463,303977,-,515,lncRNA,intragenic,,Natural antisense transcript overlaps with AT1G01840
AT1G01840,Chr1,303537,304358,+,822,mRNA,mRNA,,AP2-like ethylene-responsive transcription factor SNZ
AT1G01860,Chr1,304133,306310,-,2178,mRNA,mRNA,PFC1,Ribosomal RNA adenine dimethylase family protein
AT1G04073,Chr1,304481,304713,+,233,lncRNA,intragenic,,Natural antisense transcript overlaps with AT1G01860
AT1G01870,Chr1,306384,306456,+,73,canonical ncRNA,tRNA,,
AT1G01880,Chr1,306467,309541,-,3075,mRNA,mRNA,,5'-3' exonuclease family protein
AT1G01890,Chr1,309275,309347,-,73,canonical ncRNA,tRNA,,
AT1G01900,Chr1,310169,313130,+,2962,mRNA,mRNA,SBTI1.1,subtilase family protein
AT1G04077,Chr1,311828,312884,-,1057,lncRNA,intragenic,,Natural antisense transcript overlaps with AT1G01900
AT1G01910,Chr1,313101,316090,-,2990,mRNA,mRNA,,P-loop containing nucleoside triphosphate hydrolases superfamily protein
AT1G04083,Chr1,314189,314463,+,275,lncRNA,intragenic,,Natural antisense transcript overlaps with AT1G01910
AT1G01920,Chr1,315983,319667,+,3685,mRNA,mRNA,,SET domain-containing protein
AT1G01930,Chr1,319769,322895,-,3127,mRNA,mRNA,,zinc finger protein-like protein
MSTRG.110.3,Chr1,319849,320386,-,538,lncRNA,intragenic,NA,Overlaps with AT1G01930
AT1G01940,Chr1,322886,324917,+,2032,mRNA,mRNA,,Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein
AT1G01950,Chr1,325316,330619,+,5304,mRNA,mRNA,ARK2,armadillo repeat kinesin 2
MSTRG.116.1,Chr1,328272,328384,-,113,lncRNA,intragenic,NA,Natural antisense transcript overlaps with AT1G01950
AT1G01960,Chr1,330588,337912,-,7325,mRNA,mRNA,EDA10,SEC7-like guanine nucleotide exchange family protein
AT1G01970,Chr1,338241,340088,+,1848,mRNA,mRNA,,Tetratricopeptide repeat (TPR)-like superfamily protein
AT1G01980,Chr1,340108,342040,-,1933,mRNA,mRNA,,FAD-binding Berberine family protein
AT1G01990,Chr1,342918,344400,-,1483,mRNA,mRNA,,hypothetical protein
AT1G02000,Chr1,345516,347603,+,2088,mRNA,mRNA,GAE2,UDP-D-glucuronate 4-epimerase 2
MSTRG.121.1,Chr1,347606,348326,-,721,lncRNA,intragenic,NA,Natural antisense transcript overlaps with AT1G02010
AT1G02010,Chr1,347613,352545,+,4933,mRNA,mRNA,SEC1A,secretory 1A
AT1G02020,Chr1,352612,355124,-,2513,mRNA,mRNA,,nitroreductase family protein
MSTRG.124.1,Chr1,354307,354456,+,150,lncRNA,intragenic,NA,Natural antisense transcript overlaps with AT1G02020
AT1G02030,Chr1,355124,357258,-,2135,mRNA,mRNA,,C2H2-like zinc finger protein
AT1G02040,Chr1,357906,359078,-,1173,mRNA,mRNA,,C2H2-type zinc finger family protein
AT1G02050,Chr1,359117,360746,-,1630,mRNA,mRNA,LAP6,Chalcone and stilbene synthase family protein
AT1G02060,Chr1,360918,363142,-,2225,mRNA,mRNA,,Tetratricopeptide repeat (TPR)-like superfamily protein
AT1G02065,Chr1,365165,367443,+,2279,mRNA,mRNA,SPL8,squamosa promoter binding protein-like 8
AT1G02067,Chr1,366945,367166,-,222,mRNA,mRNA,,hypothetical protein
AT1G02070,Chr1,370195,371090,-,896,mRNA,mRNA,,zinc ion-binding protein
AT1G02080,Chr1,373335,386913,+,13579,mRNA,mRNA,,transcription regulator
AT1G02090,Chr1,387277,389808,-,2532,mRNA,mRNA,FUS5,Proteasome component (PCI) domain protein
AT1G02100,Chr1,389812,392816,+,3005,mRNA,mRNA,SBI1,Leucine carboxyl methyltransferase
AT1G02110,Chr1,392831,395528,+,2698,mRNA,mRNA,,bZIP domain class transcription factor (DUF630 and DUF632)
AT1G02120,Chr1,395689,400001,+,4313,mRNA,mRNA,VAD1,GRAM domain family protein
AT1G02130,Chr1,399983,401919,-,1937,mRNA,mRNA,RA-5,RAS 5
AT1G04087,Chr1,402086,402294,+,209,lncRNA,intergenic,,
AT1G02136,Chr1,402693,402961,-,269,pseudogene,intergenic,,pseudogene
AT1G02140,Chr1,403100,404456,-,1357,mRNA,mRNA,MAGO,mago nashi family protein
AT1G02145,Chr1,404600,408619,+,4020,mRNA,mRNA,ALG12,homolog of asparagine-linked glycosylation 12
AT1G02150,Chr1,408622,410680,+,2059,mRNA,mRNA,,Tetratricopeptide repeat (TPR)-like superfamily protein
AT1G02160,Chr1,410744,411632,+,889,mRNA,mRNA,,Cox19 family protein (CHCH motif)
AT1G02170,Chr1,411664,413554,+,1891,mRNA,mRNA,MC1,metacaspase 1
AT1G02180,Chr1,413522,414649,-,1128,mRNA,mRNA,,ferredoxin-like protein
AT1G02190,Chr1,415074,418027,+,2954,mRNA,mRNA,,Fatty acid hydroxylase superfamily
AT1G02205,Chr1,418416,422579,+,4164,mRNA,mRNA,CER1,Fatty acid hydroxylase superfamily
AT1G08785,Chr1,424479,425189,-,711,lncRNA,intergenic,,
AT1G04093,Chr1,424666,425164,+,499,lncRNA,intergenic,,
AT1G02210,Chr1,427548,427811,-,264,mRNA,mRNA,,NAC (No Apical Meristem) domain transcriptional regulator superfamily protein
AT1G02220,Chr1,428650,430720,-,2071,mRNA,mRNA,NAC003,NAC domain containing protein 3
AT1G02230,Chr1,434965,436922,-,1958,mRNA,mRNA,NAC004,NAC domain containing protein 4
AT1G02250,Chr1,437860,439559,-,1700,mRNA,mRNA,NAC005,NAC domain containing protein 5
AT1G02260,Chr1,440200,442972,-,2773,mRNA,mRNA,,Divalent ion symporter
AT1G02270,Chr1,443118,446296,-,3179,mRNA,mRNA,,Calcium-binding endonuclease/exonuclease/phosphatase family
AT1G08795,Chr1,447092,448257,+,1166,lncRNA,intergenic,,
AT1G02280,Chr1,448423,450426,-,2004,mRNA,mRNA,TOC33,translocon at the outer envelope membrane of chloroplasts 33
AT1G02290,Chr1,450461,452743,-,2283,mRNA,mRNA,,hypothetical protein
AT1G02300,Chr1,453107,455519,+,2413,mRNA,mRNA,,Cysteine proteinases superfamily protein
AT1G02305,Chr1,455688,458164,+,2477,mRNA,mRNA,,Cysteine proteinases superfamily protein
AT1G04097,Chr1,455880,456198,-,319,lncRNA,intragenic,,Natural antisense transcript overlaps with AT1G02305
AT1G02310,Chr1,458133,460831,-,2699,mRNA,mRNA,MAN1,Glycosyl hydrolase superfamily protein
AT1G04103,Chr1,459122,461921,+,2800,lncRNA,intragenic,,Natural antisense transcript overlaps with AT1G02310
AT1G02320,Chr1,461828,461974,+,147,mRNA,mRNA,,hypothetical protein
AT1G02330,Chr1,461946,463618,-,1673,mRNA,mRNA,,integrator complex subunit-like protein
AT1G02335,Chr1,463754,464981,-,1228,mRNA,mRNA,GL22,germin-like protein subfamily 2 member 2 precursor
AT1G02340,Chr1,465616,467880,-,2265,mRNA,mRNA,HFR1,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT1G02350,Chr1,469818,470693,+,876,mRNA,mRNA,,protoporphyrinogen oxidase-like protein
MSTRG.146.2,Chr1,469821,470907,+,1087,lncRNA,intragenic,NA,Overlaps with AT1G02350
AT1G04107,Chr1,471127,471498,-,372,lncRNA,intergenic,,
AT1G02360,Chr1,471883,473336,-,1454,mRNA,mRNA,,Chitinase family protein
AT1G02370,Chr1,474373,476612,+,2240,mRNA,mRNA,,Tetratricopeptide repeat (TPR)-like superfamily protein
AT1G02380,Chr1,476945,479112,+,2168,mRNA,mRNA,,transmembrane protein
AT1G02390,Chr1,480650,483373,+,2724,mRNA,mRNA,GPAT2,glycerol-3-phosphate acyltransferase 2
AT1G02400,Chr1,486800,489651,+,2852,mRNA,mRNA,GA2OX6,gibberellin 2-oxidase 6
AT1G02405,Chr1,489874,490627,-,754,mRNA,mRNA,,proline-rich family protein
AT1G02410,Chr1,490860,492979,+,2120,mRNA,mRNA,,cytochrome c oxidase assembly protein CtaG / Cox11 family
AT1G02420,Chr1,493639,495158,+,1520,mRNA,mRNA,,Pentatricopeptide repeat (PPR) superfamily protein
AT1G04117,Chr1,494008,495548,-,1541,lncRNA,intragenic,,Natural antisense transcript overlaps with AT1G02420
